character_name,freebase_map_id
Sarah Baker,"['/m/0jw957', '/m/02vdb5r']"
Minnie Mouse,"['/m/0ksh9nd', '/m/0gy6vp1', '/m/0g8qdhf', '/m/0ksh9nd', '/m/0gy6vm9']"
Ellie Sattler,"['/m/02vd19d', '/m/0j_8y9']"
Cutler Beckett,"['/m/0k1xyw', '/m/0k1xwx']"
Jill Tuck-Kramer,"['/m/04ddh1_', '/m/09tc32f', '/m/05tf_k7']"
Charlie Bucket,"['/m/0jw83j', '/m/0k8398']"
Peter Parkette,"['/m/02sjzn6', '/m/02sjznp']"
Anna Karenina,"['/m/02vcc_v', '/m/03kzlgr', '/m/02vcdbb']"
Dorothy Carlsson,"['/m/09lxy66', '/m/09lxy6d']"
Tasmanian Devil,"['/m/0hynjk6', '/m/0hynl7d']"
Lisbeth Salander,"['/m/0b3vyd7', '/m/0c1w01_', '/m/09l581w']"
Bill Sikes,"['/m/0k1gz1', '/m/0k1gvd', '/m/05cdqnr', '/m/0k1gxb']"
Regan MacNeil,"['/m/0k50cy', '/m/0jx_1t']"
Jonathan Carnahan,"['/m/0k5z01', '/m/0k5yzj', '/m/03lzd6_']"
Stifler's Mom,"['/m/03jqbx1', '/m/03jrk92']"
Miss Finster,"['/m/0kxcszg', '/m/0kx9w0_']"
Lex Luthor,"['/m/02vbrr0', '/m/02vb45j', '/m/0k3z3h', '/m/0k3z0y', '/m/06wj_km', '/m/0k3zb8', '/m/0k3z7_']"
Karsh WarBurton,"['/m/0gdjq8l', '/m/0gchf45']"
Allan Quatermain,"['/m/0dkcff_', '/m/0dkcffs', '/m/0dkcfg6', '/m/02vdb4q']"
Nelson Potter,"['/m/0jy2_4', '/m/0jy2yb']"
Edward Rochester,"['/m/04sz_8r', '/m/0j_37b']"
Rahul Sharma,"['/m/0k12qb', '/m/0gm0zrv']"
Freddy Krueger,"['/m/0667gzp', '/m/0jsvqk', '/m/0jyg1b', '/m/0jsvj_', '/m/070nw_0', '/m/0k7z4p', '/m/0jsvp5', '/m/0jsvmj', '/m/0jsvhc']"
Kristen Parker,"['/m/0jsvqd', '/m/0jsvjj']"
Dorian Gray,"['/m/0dkcy1f', '/m/07m1wvf']"
Velma Dinkley,"['/m/03js164', '/m/0k2zvw', '/m/0h1hzbf', '/m/05cj0rk']"
Maid Marian,"['/m/0k48xs', '/m/0h0_xzh', '/m/0k2m52']"
Cameron Mitchell,"['/m/0cg863c', '/m/0cg1702']"
Alvin Seville,"['/m/0cgnj7t', '/m/06495l6', '/m/0k4q1s']"
Raj Malhotra,"['/m/029p_h0', '/m/0jt4xw', '/m/0dgb2pv', '/m/0hz_g5w', '/m/0jtjxd', '/m/03jsqyn', '/m/0h8bc26', '/m/0jsmb5', '/m/04mjvg4', '/m/0bmz7b4']"
Mr. Murray,"['/m/0jwzp5', '/m/03lj4l5']"
Harry Houdini,"['/m/02vb6b_', '/m/02vd8nt']"
Connie Corleone,"['/m/0k56lm', '/m/02nxvzx']"
Anne Elliot,"['/m/0gw0n1w', '/m/0k1v9r']"
Silent Bob,"['/m/0jwj05', '/m/0jxdks', '/m/09vvrgm']"
Bellatrix Lestrange,"['/m/05pxc0x', '/m/0crxhn6', '/m/02_3gkk']"
Dr. Zaius,"['/m/0jv7wm', '/m/0k1yq1']"
Miles Archer,"['/m/0cg2vj8', '/m/05nyhzj']"
Ace Ventura,"['/m/0jt03v', '/m/0jt05v']"
The Wizard,"['/m/02vb92n', '/m/03lc0r7', '/m/04htzhl', '/m/0k6y77']"
Eddie Felson,"['/m/0k4rkf', '/m/02vct3c']"
The Collector,"['/m/0jx534', '/m/09v1859']"
Roger Rabbit,"['/m/0k81jv', '/m/04616rn']"
Herbert West,"['/m/0jv9hb', '/m/0jvsxx', '/m/0k2c86']"
Jack Powell,"['/m/02vcr5s', '/m/02tbgyx']"
Lorna Cole,"['/m/0j_zjl', '/m/0j_zhb']"
William Shakespeare,"['/m/0h5jrq2', '/m/0gl1mnw', '/m/02_571y', '/m/045xj51']"
Childlike Empress,"['/m/02vbdkn', '/m/0jx8q6']"
Davy Jones,"['/m/0k1xy2', '/m/0k1xvh']"
Dan Cain,"['/m/0jvsx3', '/m/0k2c8c']"
Mia Thermopolis,"['/m/02vbfh2', '/m/0k6614']"
Pat Garrett,"['/m/0k1sb7', '/m/059whrd', '/m/03ky9wm']"
Clarice Starling,"['/m/0jz4bs', '/m/0k6g81']"
Betty Rubble,"['/m/02vc3s7', '/m/0k5326', '/m/0kr3ly5']"
Jack Byrnes,"['/m/0k0kl5', '/m/0k0kjg', '/m/087gypx']"
Nicky Parsons,"['/m/02t9dkw', '/m/0k4kgd']"
Ravi Varma,"['/m/040lkfg', '/m/040k38f', '/m/0h1kt2r']"
Miranda Hobbes,"['/m/040kc84', '/m/05nxhmm']"
George Milton,"['/m/0k1g22', '/m/0k1g11']"
Sam Hall,"['/m/04zcgmh', '/m/0k4v_9']"
Celia Gray,"['/m/03jtbcv', '/m/0ck7b8h']"
Barney Ross,"['/m/0gwhcth', '/m/059tvtw']"
Kevin McCallister,"['/m/0jzhl5', '/m/0jzhm6']"
Jack Crawford,"['/m/0k0f4s', '/m/0k2dcm', '/m/0k6g8c']"
Prince Hamlet,"['/m/09nf2qs', '/m/0jz3w4', '/m/05ch59w']"
Daniel Cleaver,"['/m/0c1r22g', '/m/0h5njph']"
Albert Brooks,"['/m/0k2cmw', '/m/0k04t1']"
The Sheriff,"['/m/0l4qfn7', '/m/02vc4fm']"
Prince Eric,"['/m/0k5r0s', '/m/0cs6mk_', '/m/03lk7hd']"
Barney Rubble,"['/m/0krpc70', '/m/0k531x', '/m/02vcz7m', '/m/0k5v0p', '/m/0kr3lvh', '/m/04d74qc']"
Cardinal Richelieu,"['/m/0ggfs8n', '/m/02vcspz', '/m/02vbtwv', '/m/0ccdq3d', '/m/02tb5n7']"
Frodo Baggins,"['/m/0k5s97', '/m/0k5scc', '/m/0k5sf7', '/m/0k5s5d']"
Chris Hargensen,"['/m/0jw3ky', '/m/03jr05_']"
Jimmy Lee,"['/m/02vbz3d', '/m/04dbrk2']"
Security Guard,"['/m/0j1ffqf', '/m/0f_6z7f']"
Genji Takiya,"['/m/0gw0445', '/m/0djcxdk']"
Michael Jackson,"['/m/04q5vg1', '/m/040c1s4']"
Charlie Brown,"['/m/07n9qvl', '/m/0n3l_49']"
Daffy Duck,"['/m/0g9n24p', '/m/0hynk74', '/m/0gx8gyp', '/m/0gx6xc0', '/m/052ct6g', '/m/0hyn6rt', '/m/0gb1vhp', '/m/0hyq22t', '/m/0gx7dt6', '/m/0hynzx1', '/m/0hgvq1p', '/m/052b3z9', '/m/0gx874s', '/m/0hynjq9', '/m/0gx7smx', '/m/052cw1m', '/m/052bx3v', '/m/0gw3xvy', '/m/0gx867f', '/m/09l4_j7', '/m/0gb5xzr', '/m/0lmnyj7', '/m/052bzjn', '/m/0hyn5n6', '/m/0hyn2zm', '/m/0gx8dbm', '/m/052c2_5', '/m/0hyn6r7', '/m/0ggc7mp', '/m/0647dyw', '/m/0hynr1_', '/m/052bd46', '/m/0gx8ldv', '/m/0hyn2mj', '/m/09l556v', '/m/0g9qc1s', '/m/0gx49n4', '/m/052cwkx', '/m/0gx50y1', '/m/0hynl0w', '/m/052bzk0', '/m/0j2fvc3']"
Helen Benson,"['/m/0k4w6g', '/m/040mnw3']"
Jackie Robinson,"['/m/0k5hzs', '/m/04618bh']"
Leo Getz,"['/m/0j_zh5', '/m/0j_zjf', '/m/0j_zl9']"
Philip Carey,"['/m/04fsg7s', '/m/02tb8_z']"
Fox Mulder,"['/m/03gjth6', '/m/04f8_t5']"
Rosemary Woodhouse,"['/m/02vcq0c', '/m/02vbdfj']"
Bharat Bhushan,"['/m/0gw2k1k', '/m/09j018n']"
Inspector Megure,"['/m/0hqgcjq', '/m/0ggdl1q']"
Optimus Prime,"['/m/04m54zn', '/m/0k79kc', '/m/0c055xd', '/m/0646s6s']"
Linus Larrabee,"['/m/01x3dtf', '/m/0k2sdf']"
Big Daddy,"['/m/03jrg3b', '/m/0hdg77m', '/m/0k25f2', '/m/02tbj1c']"
Prince Barin,"['/m/0jy8qf', '/m/03z8qmm']"
Miss Bianca,"['/m/0k68mp', '/m/0k68q3']"
Tommy Ross,"['/m/0jw3km', '/m/03lwrx1']"
Ray Bronson,"['/m/0jzq7x', '/m/0jzqvk']"
Captain January,"['/m/040f_t3', '/m/02tb9wb']"
Joe Carraclough,"['/m/0j_slj', '/m/03jpbj5']"
Snow White,"['/m/0gvzs8s', '/m/03jr85w', '/m/0gy4p8t']"
Gang Member,"['/m/0bmkqvk', '/m/0gykrxp']"
Luke Skywalker,"['/m/0k3r1v', '/m/0k6jzc', '/m/01xpntr', '/m/0k3r3j']"
Baron Frankenstein,"['/m/0jyf4h', '/m/04q4m6r']"
Edgar Frog,"['/m/0crsc36', '/m/0gxbj2c']"
Deepak Kumar,"['/m/0dj2lq0', '/m/0gw0cdy']"
Margaret White,"['/m/0jw3k9', '/m/02vbkk9']"
Julius Caesar,"['/m/0jwhxq', '/m/0k3m5p']"
Dan Jordan,"['/m/03jpdr2', '/m/03jptyx']"
Mary Crawford,"['/m/09sddf6', '/m/0cg61m1']"
Hercule Poirot,"['/m/02vb7yx', '/m/03jqrpn', '/m/02vbw1m']"
Jim Hawkins,"['/m/02vbr8d', '/m/05cj7x4']"
Wyatt Earp,"['/m/02vbn72', '/m/04d8gym', '/m/0k775z', '/m/0gy8rxk']"
Lightning McQueen,"['/m/05t9l5j', '/m/0jw4d3']"
Young Jake,"['/m/0hndzk9', '/m/0bwsx65']"
Carl Kolchak,"['/m/04dctvq', '/m/07ll4c0']"
Lord Voldemort,"['/m/094wpns', '/m/02t9_zv', '/m/09lybcq', '/m/075q0v4', '/m/0jz6fl', '/m/02vcdgy']"
Martin Beck,"['/m/0dlfhds', '/m/0k24b8', '/m/0d1tth4']"
Ryce Newton,"['/m/03jq3np', '/m/0jv5ty']"
General Zod,"['/m/02vbg3t', '/m/0k3z4r']"
Arthur Bach,"['/m/0jtrgj', '/m/0ghdkxh', '/m/0jtrdg']"
Buzz Lightyear,"['/m/05t77sd', '/m/02s9l6m', '/m/0k78wq', '/m/02s9l6z']"
Randal Graves,"['/m/09vvrb_', '/m/0jwj18']"
Donald Duck,"['/m/0gfsqzl', '/m/04616rb', '/m/0lpxw_k', '/m/0gb58qn', '/m/0gfsr8_', '/m/0h1k8f6', '/m/0km7m2t', '/m/0n4j11h', '/m/0gg2d61', '/m/0jr9xjf', '/m/0mzmmb1', '/m/0jrxlz7']"
Princess Ilene,"['/m/04fgygk', '/m/0cf_qtm']"
Young Jack,"['/m/03jq87t', '/m/03jppd0']"
Anakin Skywalker,"['/m/02sg5s6', '/m/02sg5ry', '/m/02sg5rn', '/m/04m6bsf']"
Franz Liszt,"['/m/04kp4mz', '/m/02vbv2p']"
Carrie White,"['/m/07rzv7l', '/m/0jw3k4']"
Pontius Pilate,"['/m/042h1f5', '/m/03jt1k5', '/m/09j2b4l', '/m/042h1f0']"
Billy Jack,"['/m/02vbcw7', '/m/0jvc_9', '/m/02t9_68', '/m/02vbf57']"
Sean Brody,"['/m/03js2z7', '/m/0ch98pw']"
Megan Parker,"['/m/0jxkps', '/m/04q48xx']"
Ursula Stanhope,"['/m/0jypxb', '/m/0jypz7']"
Steve Stifler,"['/m/0jtf4f', '/m/0gvx2tj', '/m/0jtf7d', '/m/0jtfgw']"
The Chief,"['/m/0cg54hp', '/m/02vc6kh']"
Nora Baker,"['/m/03jt5ff', '/m/0jw935']"
Felix Unger,"['/m/03l920n', '/m/0k60rr']"
Kate Baker,"['/m/0jw92w', '/m/0jw94y']"
Father Uffizi,"['/m/02tbjc3', '/m/02vbm27']"
Marty McFly,"['/m/0jty5d', '/m/0jty84', '/m/0jty6y']"
David Bowman,"['/m/0jsmd2', '/m/0jsjmg']"
King Kong,"['/m/0h2vw8s', '/m/0h34xh0']"
John Hammond,"['/m/0j_8ym', '/m/0k5st6']"
Brian Kelly,"['/m/02vc8l5', '/m/0k3jgk']"
Taylor McKessie,"['/m/0jzdzk', '/m/0gz0wnc']"
Ben Cooper,"['/m/0k3fh2', '/m/0k633d']"
Rohit Kumar,"['/m/0k1pz8', '/m/02b9dzf']"
Chad Danforth,"['/m/03lyytv', '/m/0jzdzd', '/m/0gz0ldm']"
Tommy Doyle,"['/m/0jz36h', '/m/02vb6tb']"
Mycroft Holmes,"['/m/0gk8kt8', '/m/02vbty7']"
Inspector Clouseau,"['/m/0k2j12', '/m/0k63xg', '/m/02_2hh6', '/m/0k797p', '/m/02_2hgr', '/m/03jqhfj', '/m/0k63zt']"
Greg Heffley,"['/m/0h2wrwj', '/m/0gw2ydz', '/m/07ykgr9']"
Princess Odette,"['/m/0gdmvqn', '/m/02vc8n4', '/m/02vcp11', '/m/040n603']"
Bugs Bunny,"['/m/052cqt0', '/m/09vlfvh', '/m/052bxvw', '/m/052cx3d', '/m/052bz1c', '/m/052cqjx', '/m/052cm4w', '/m/052c6cm', '/m/0gx62c3', '/m/052cqk2', '/m/0gx4mx5', '/m/0hynkw7', '/m/0gy5gvh', '/m/0g99lbm', '/m/052bz28', '/m/0gx4qgw', '/m/052cxgg', '/m/052c63k', '/m/0glw70k', '/m/052d8ch']"
Vicky Malhotra,"['/m/02vcch4', '/m/0h6f7nz']"
Julie Hastings,"['/m/0h5nmtb', '/m/0jwzw9']"
Witch Hazel,"['/m/0gx88_7', '/m/09vlfvn', '/m/0gx88y4']"
Snake Plissken,"['/m/0jxxkh', '/m/0jxxhp']"
Pamela Landy,"['/m/0k4kg7', '/m/02t9dn6']"
Itchy Itchiford,"['/m/03jtdwv', '/m/0jt94f']"
Eric Lassard,"['/m/0k1_sn', '/m/0k1_xh', '/m/0k1_qz', '/m/0k1_vl']"
Davy Crockett,"['/m/03l35jl', '/m/02vb42j', '/m/04dfht2', '/m/0k49cv']"
Uncle Arthur,"['/m/03l5_t9', '/m/07r2jk5']"
The Oracle,"['/m/03jt6fx', '/m/0jt5xc', '/m/03jpl0f']"
Mikael Blomkvist,"['/m/07lmck1', '/m/07llrrx', '/m/0b3vyd1']"
Sean Anderson,"['/m/04f8xf_', '/m/0gm28gr']"
Daniel Larusso,"['/m/0k5jxt', '/m/0k5jzz', '/m/0k5k0t']"
Juan Rico,"['/m/0mz9qcb', '/m/0k3rmk']"
Adrian Pennino,"['/m/0k2n6q', '/m/0k2n02']"
Victor Prinzim,"['/m/02k9d4l', '/m/0k4ndb']"
Rahul Malhotra,"['/m/0hrn2f2', '/m/0ccf8k2']"
Bo Duke,"['/m/04mgd77', '/m/0k4zkh', '/m/0k4zny']"
Michael Gold,"['/m/0k4g9k', '/m/02vd7tb']"
Lois Lane,"['/m/02tbg08', '/m/0k3z89', '/m/0k3z43', '/m/0k3zb3', '/m/02vd8wk', '/m/02vbpng', '/m/02tbk5n', '/m/0k3z1q']"
Lucy Stark,"['/m/0cg6c2y', '/m/09dxvd4']"
Jean-Luc Picard,"['/m/01xpsgd', '/m/040qs2n', '/m/04hvd58']"
Gary Winston,"['/m/0jthc_', '/m/02vbk_v']"
Tom Chaney,"['/m/0g5dytp', '/m/0b796rz']"
Ravi Verma,"['/m/0gc33jd', '/m/0dj2k38', '/m/0csbh3n', '/m/0gw3ybf']"
Mrs. Santa,"['/m/0gw77f4', '/m/0lm4r4y']"
Judge Dredd,"['/m/03l9nyg', '/m/0g5cn55']"
Fairy Godmother,"['/m/0jwffv', '/m/04_bz55', '/m/0hnpx1x', '/m/0bhg15c']"
Miss Prissy,"['/m/0hyp1tr', '/m/0gx76p2']"
Esther Blodgett,"['/m/02nwsyj', '/m/0jsxlp']"
Wednesday Addams,"['/m/0jt0xf', '/m/0k4850']"
Ben Carson,"['/m/09k867c', '/m/02vcfgj']"
Mr. Evans,"['/m/0hgctl9', '/m/0bnprx7']"
Jobe Smith,"['/m/0k5nnj', '/m/02sjzh8']"
Frank Chambers,"['/m/0k654x', '/m/04m544k']"
Irene Adler,"['/m/04q3yhk', '/m/0gwss4h']"
Amy Sumner,"['/m/0gvzk5c', '/m/02vc216']"
Santa Claus,"['/m/02vd79p', '/m/0m0zqth', '/m/0gx43bc', '/m/0dwkcz7', '/m/08s2h7w', '/m/03jqvhx', '/m/07xyf4y', '/m/0lpshyn', '/m/059t04_', '/m/0g5k64r', '/m/0gc0gd8']"
Frederic Chopin,"['/m/0jwd7g', '/m/0jzv3_']"
Laura Black,"['/m/03jsvh2', '/m/04j20qg']"
Cliff Brumby,"['/m/0hhhcvq', '/m/02tb44b']"
'Baby' Louise,"['/m/0c0lv89', '/m/0h2cmv_']"
Captain Englehorn,"['/m/02vc_7l', '/m/0k6ht5']"
Larry Wilson,"['/m/03jrtgt', '/m/0k7yjg']"
Nancy 'Sikes',"['/m/0k1gvk', '/m/0k1gyx']"
Virgil Tibbs,"['/m/0jzwf0', '/m/04ls6r2']"
Jason Taylor,"['/m/052glk8', '/m/0dlfsx3']"
Helen Sharp,"['/m/0csjgtz', '/m/0jx2_9']"
Gale Weathers,"['/m/0k2_df', '/m/0bc3xk8', '/m/0k2_bp']"
The Creeper,"['/m/0j_4g2', '/m/09j0y1x']"
Charlie Frost,"['/m/03jt3rq', '/m/04lsjfp']"
Pat Chambers,"['/m/04l4nbf', '/m/02vc39t']"
Aidan Keller,"['/m/0k69f0', '/m/0k69bn']"
Jane Eyre,"['/m/0j_38_', '/m/02_y64k', '/m/0gfmvhh', '/m/02_y64b']"
George Logan,"['/m/0k2z0h', '/m/03jrksl']"
John Connor,"['/m/0k45ck', '/m/03n9_pb', '/m/04m5b3q']"
Raj Oberoi,"['/m/04z23yj', '/m/05tf20m']"
Marion Ravenwood,"['/m/0446hng', '/m/0k294v']"
Old Man,"['/m/0k6n6y', '/m/0gcq6bz', '/m/09cwzp_', '/m/0cgpbsj', '/m/0gj41d5', '/m/0cg3c1c', '/m/0cv3vr0']"
Karan Oberoi,"['/m/02tbb8y', '/m/03jqyzh']"
Flynn Carsen,"['/m/02vbzmx', '/m/0gy9lp_']"
Clark Davis,"['/m/0h2t9mk', '/m/05nv7ws', '/m/0h2t9mr']"
Ms. Darbus,"['/m/01z0ccy', '/m/0h5shzf']"
Captain Hook,"['/m/0bhq2ky', '/m/0cgr3cb', '/m/0jzjnr']"
Daphne Blake,"['/m/0h1hzmj', '/m/0k2zx5', '/m/05cj0rq', '/m/0k2zvk']"
Lara Croft,"['/m/0gczrqc', '/m/0j_s88']"
Monsieur Hulot,"['/m/0k1z2f', '/m/0k0ryt']"
Frank Martin,"['/m/0k79lk', '/m/0bpgfj1', '/m/0k6r5t']"
Lloyd Christmas,"['/m/0jxm_1', '/m/0jxmxj']"
Alfred Pennyworth,"['/m/0497wl1', '/m/0cls3tk', '/m/0jv2cb']"
Mary Magdalene,"['/m/04hvc11', '/m/02tbcw8']"
Tweety Bird,"['/m/0hyny7c', '/m/0hyq5z3', '/m/052bm2q', '/m/0hyq0zb', '/m/0g8qd1f', '/m/0hynhnl', '/m/0hyp1jd', '/m/0gd0xz3', '/m/0hyp2p_', '/m/0hynmd8', '/m/0hyq24w', '/m/0hyn7wl', '/m/0hyq2m9']"
Harry Palmer,"['/m/04szzf4', '/m/04szz85', '/m/02tb8q6', '/m/04dj1dy', '/m/02tbb_4']"
Hal Jordan,"['/m/05p07cy', '/m/0gx6y9d']"
Martin Luther,"['/m/04hv63s', '/m/03jt6gs']"
Ron Stoppable,"['/m/0j_gvh', '/m/0j_gwp']"
Zack Martin,"['/m/0h292b9', '/m/0gm2yjy']"
Peter Vincent,"['/m/0dgl4s_', '/m/03l8rxq', '/m/03kyyh7']"
Holly Hills,"['/m/0hcbkq5', '/m/0gvwwkn']"
Norman Bates,"['/m/0k255h', '/m/0k2542', '/m/02tb7h0', '/m/02vc7cn']"
Randolph Carter,"['/m/09sl8k1', '/m/09sl732', '/m/09sl8mh']"
Isaac Chroner,"['/m/03lp955', '/m/02vd8yt']"
Rowley Jefferson,"['/m/0g4tkv_', '/m/0hcblbr']"
Merlin Jones,"['/m/03jrrrg', '/m/03jr5dn']"
Boba Fett,"['/m/05n8b9z', '/m/0bvd6p7']"
Lucy Pevensie,"['/m/0646fl6', '/m/0k4q93', '/m/02vcr1y']"
Jason Bourne,"['/m/0k4kfm', '/m/0k4kcz', '/m/02t9djx']"
Hector Barbossa,"['/m/0k1x_2', '/m/0k1xvt', '/m/087vfh8']"
Kyle Williams,"['/m/04ls5sp', '/m/0jwzpz']"
Thantos DuBaer,"['/m/02vd0qv', '/m/03jrhyh']"
Dana Barrett,"['/m/0jyrz9', '/m/0jyr_m']"
Prince Humperdinck,"['/m/03jt4jc', '/m/0k65z0']"
Kathryn Merteuil,"['/m/0jwv4w', '/m/02vd6b2']"
Dylan Piper,"['/m/0jz3d0', '/m/0jz3f5', '/m/04djh5y']"
Sebastian Valmont,"['/m/02vbmsy', '/m/0jwv4q']"
Jesse Huston,"['/m/02vczvc', '/m/02vbc94']"
Robert Martin,"['/m/07q9v9d', '/m/05clkc2']"
Romeo Montague,"['/m/0k8363', '/m/0gch254']"
Mollie Ubriacco,"['/m/0k04l_', '/m/02vd40p', '/m/02tbhlh']"
Scott Calvin,"['/m/0k6cmh', '/m/0k6ck0', '/m/0k6clg']"
Jo March,"['/m/0k023x', '/m/0k0270']"
Father Brennan,"['/m/0mz9xy8', '/m/03l79vn', '/m/0k610v']"
Captain Nascimento,"['/m/04mnnfy', '/m/0g4nwkh']"
Princess Ariel,"['/m/02vcqhn', '/m/040nkwf', '/m/0k5r09']"
Lena Kaligaris,"['/m/0k6gwn', '/m/04g6vv4']"
Han Lue,"['/m/0k51qm', '/m/0jv8sn']"
Michael Myers,"['/m/0jz30_', '/m/02vdf1t', '/m/02vb34_', '/m/02vc04n', '/m/0jz328', '/m/03jtc2g']"
Mary Morstan,"['/m/0btn3kn', '/m/0gw6_80']"
Nancy Thompson,"['/m/0jsvgr', '/m/0jsvq2']"
Becky Thatcher,"['/m/03lbz8w', '/m/02tb69x']"
Laxmi Devi,"['/m/0jznk7', '/m/02vdc95']"
Christopher Robin,"['/m/0gkcl82', '/m/062tzjk']"
Marge Sherwood,"['/m/0k1z84', '/m/0k6mhl']"
Charlotte York,"['/m/05lmdtt', '/m/05nxhmy']"
George Lytton,"['/m/0k63z6', '/m/0cg4dgp']"
Jack Ryan,"['/m/0cs5h5r', '/m/0k4g6_', '/m/0k6lpc']"
Catherine Tramell,"['/m/0jv1wy', '/m/0jv1vb']"
Shane Gray,"['/m/09rjlbh', '/m/064ylll']"
Charlie Chan,"['/m/08nnpnn', '/m/04ddyzc']"
John Rambo,"['/m/040lhs4', '/m/0k2b0v']"
Alex West,"['/m/0j77mx3', '/m/02tbd5z']"
The Doctor,"['/m/0h2vrh_', '/m/0gc0jkz', '/m/03jrv05']"
Apollo Creed,"['/m/02vcknw', '/m/0k2n3p', '/m/0k2n0d']"
Norman Maine,"['/m/0jsxlv', '/m/0jsxhz']"
Gabriel Martin,"['/m/04m716n', '/m/045x5sk']"
Porky Pig,"['/m/0hyp01z', '/m/052bktd', '/m/0647479', '/m/0hyq22k', '/m/052cgjh', '/m/052c6v9', '/m/0gx55_s', '/m/0hyn7l2', '/m/0ggfbmw', '/m/0gx78br', '/m/0hyq1wk', '/m/052d7kb', '/m/0hgvjvf', '/m/052d0g7', '/m/0glmltq', '/m/0gcsp35', '/m/0ggcxvh', '/m/052d9kk', '/m/052b3xt', '/m/0665hpk', '/m/0hyqd4s', '/m/0gx84q8', '/m/0h1k0g3', '/m/0hynkqy', '/m/0gx4401', '/m/0hynnz8', '/m/0gx86h0', '/m/052ccqz', '/m/0n4pmb0', '/m/052bf45', '/m/052bz2g', '/m/052bl0d', '/m/0hyq74r', '/m/052cttw', '/m/0hynpjw', '/m/0b78pdk', '/m/0gx5f1c', '/m/0hynk3g']"
Garth Algar,"['/m/0k7xz5', '/m/0k7xxw']"
Napoléon Bonaparte,"['/m/02vb2kl', '/m/0jwn5p']"
Lisa Dolittle,"['/m/02vc_tl', '/m/0gcpd50']"
Miss Marple,"['/m/02vbylm', '/m/02tbctl', '/m/02vc584', '/m/02t9_pg']"
Evan Baxter,"['/m/0jxy5m', '/m/0k8dzh']"
Axel Foley,"['/m/0jv8yn', '/m/0jv90h']"
Vito Corleone,"['/m/02ky3xj', '/m/0k56jc']"
Ellen Brody,"['/m/0j_3zy', '/m/0j_3yq']"
Roy O'Bannon,"['/m/02vd47f', '/m/0k34yw']"
Tracy Turnblad,"['/m/02vd3lq', '/m/0jz2bt']"
John Morgan,"['/m/0k68sr', '/m/03kx3p4']"
Doctor Watson,"['/m/0gk8xqb', '/m/0n5lkyq', '/m/02tbfd7', '/m/04q3yhq', '/m/01xpwcw', '/m/03kvrjm', '/m/02vc576', '/m/0k84xg']"
Ken Carson,"['/m/0gl1kjc', '/m/0gm0_jq']"
Lamont Cranston,"['/m/0n5lmft', '/m/0h5t22c']"
Mrs. Burns,"['/m/02vbs47', '/m/0h2l0c4']"
Wayne Campbell,"['/m/0k7xxq', '/m/0k7xz0']"
Ryan Evans,"['/m/03lyyt_', '/m/0gyzdgw']"
Sam Witwicky,"['/m/08730bw', '/m/04m54zh', '/m/0k79hz']"
Mr. Bean,"['/m/0jv3vy', '/m/0jygqg']"
Marnie Piper,"['/m/0jz3b6', '/m/04djh5s', '/m/0jz3cq', '/m/0jz3dw']"
Bryan Mills,"['/m/0hl6t2n', '/m/04df758']"
Elwood Blues,"['/m/0jvljc', '/m/0k4jr8']"
Keith Jennings,"['/m/0k6114', '/m/02tb9t2']"
Kumar Patel,"['/m/02vdfc2', '/m/0jz5zx', '/m/0dkc35n']"
Sara Anderson,"['/m/04hv4xw', '/m/02vd573']"
Rubeus Hagrid,"['/m/0jz6bt', '/m/0jz6kf']"
Leon Trotsky,"['/m/04htwl9', '/m/0jyh0m']"
Tony Stark,"['/m/0j1__hv', '/m/0n4fx4_']"
Babe Bennett,"['/m/0k0wws', '/m/0k0wyc']"
Mr. White,"['/m/0k2gg9', '/m/0k46x1']"
Aman Mehra,"['/m/0jszpk', '/m/0dj2l_x']"
Max Rockatansky,"['/m/0k09dq', '/m/05dc8yy', '/m/0k09b2']"
Mikaela Banes,"['/m/0k79jf', '/m/04m54zb']"
Ginny Weasley,"['/m/0fq96yv', '/m/07z1scv']"
Tom Ripley,"['/m/0k1z7v', '/m/0k6mh8']"
Gabriella Montez,"['/m/02vd0zf', '/m/0jzdyy']"
Robert Thorn,"['/m/0k610c', '/m/02vdcbs']"
Chili Palmer,"['/m/0jv3jj', '/m/02vc474']"
Cobra Bubbles,"['/m/03l67r6', '/m/0cw00xy']"
Joanna Eberhart,"['/m/0k6k6n', '/m/0k6k7q']"
Bobby Ray,"['/m/03jqy4h', '/m/03jstvn']"
King Harold,"['/m/04_bz4y', '/m/0k3829']"
Poison Ivy,"['/m/0jv29l', '/m/0k1zps']"
Andy Warhol,"['/m/040rxs3', '/m/0jy0gs']"
Anne Frank,"['/m/0k4cdz', '/m/0k4yl2']"
Ethan Dalloway,"['/m/0jz3fb', '/m/02tb3lm']"
Aggie Cromwell,"['/m/04djh6d', '/m/0jz3b1', '/m/0jz3cd']"
Jane Porter,"['/m/0k42w3', '/m/0k42rp', '/m/04hv7m_', '/m/040lqg1']"
Jessie Thekekuttu,"['/m/0hpqb9b', '/m/05nw02t']"
Red Queen,"['/m/0k9xy6x', '/m/04q4dn9']"
Mr. Tumnus,"['/m/03jq4gd', '/m/0k4qc0']"
Lankester Merrin,"['/m/0jx_43', '/m/0jx_28', '/m/0k50c9']"
Danny Ocean,"['/m/02vc2g_', '/m/0k1fh0']"
El Chivo,"['/m/03k_gpb', '/m/0gm5yvy']"
